"region","id","SampleHabitat","Latitude","Longitude","ept_rich","log_ec","log_turb","slope","scale_temp","av_temp"
"NSW","-36.80538 149.46493 NSW","Edge",-36.80538,149.46493,1,4.34380542185368,0.470003629245736,0.0109540015345487,0.109201299090498,104
"NSW","-36.81625019 149.2805202 NSW","Edge",-36.81625019,149.2805202,7,5.75574221358691,-0.0339015516756815,0.0296742688997933,0.0793805982613688,111
"NSW","-36.8186 149.9048 NSW","Edge",-36.8186,149.9048,4.5,5.27811465923052,-0.287682072451781,0.0387124499621361,-0.212812853472433,148
"NSW","-36.83311 149.78079 NSW","Edge",-36.83311,149.78079,4,6.65415252018322,3.63758615972639,0.030198401455236,0.483415784623084,148
"NSW","-36.8455 148.9369 NSW","Edge",-36.8455,148.9369,6,5.23644196282995,1.52605630349505,0.0595016878799559,-0.136570028307779,114
"NSW","-36.8455 148.9369 NSW","Riffle",-36.8455,148.9369,7,5.23644196282995,1.52605630349505,0.0595016878799559,-0.136570028307779,114
"NSW","-36.85235017 148.4056498 NSW","Edge",-36.85235017,148.4056498,7.33333333333333,3.90533401727735,0.53062825106217,0.0864001776978778,-0.0364610242940125,125
"NSW","-36.85489 149.81796 NSW","Edge",-36.85489,149.81796,3,5.76519110278484,0.916290731874155,0.0352523437462137,-0.169339919808232,142
"NSW","-36.85864 149.86133 NSW","Edge",-36.85864,149.86133,4,5.79301360838414,2.15176220325946,0.0368396660314383,0.272842104746369,146
"NSW","-36.85864 149.86133 NSW","Riffle",-36.85864,149.86133,9,5.79301360838414,2.15176220325946,0.0368396660314383,0.272842104746369,146
"NSW","-36.8664 148.4147 NSW","Edge",-36.8664,148.4147,4,4.34380542185368,-0.916290731874155,0.0374513763851492,-0.107052266050104,125
"NSW","-36.8664 148.4147 NSW","Riffle",-36.8664,148.4147,9,4.34380542185368,-0.916290731874155,0.0374513763851492,-0.107052266050104,125
"NSW","-36.87266 149.01298 NSW","Edge",-36.87266,149.01298,3.5,4.47733681447821,-0.916290731874155,0.0228541968635199,-0.0193490832775372,114
"NSW","-36.8778 149.6479 NSW","Edge",-36.8778,149.6479,6.66666666666667,5.36129216570943,1.85107604638447,0.0521709537785324,-0.39831188988166,130
"NSW","-36.8778 149.6479 NSW","Riffle",-36.8778,149.6479,11.3333333333333,5.36129216570943,1.85107604638447,0.0521709537785324,-0.39831188988166,130
"NSW","-36.8903 149.112 NSW","Edge",-36.8903,149.112,4,5.2040066870768,2.23001440015921,0.0189446197674184,-0.0531066642966908,113
"NSW","-36.8903 149.112 NSW","Riffle",-36.8903,149.112,5,5.2040066870768,2.23001440015921,0.0189446197674184,-0.0531066642966908,113
"NSW","-36.8971 149.4612 NSW","Edge",-36.8971,149.4612,7.66666666666667,5.60702680619189,2.22282012452518,0.0676677456054969,-0.0890613184230178,128
"NSW","-36.8971 149.4612 NSW","Riffle",-36.8971,149.4612,6,5.63835466933375,2.62103882411258,0.0676677456054969,-0.0890613184230178,128
"NSW","-36.9001 149.2671 NSW","Edge",-36.9001,149.2671,2,4.38202663467388,3.78418963391826,0.0218464749609388,-0.457096696144616,111
"NSW","-36.9042 149.7913 NSW","Edge",-36.9042,149.7913,7,5.04342511691925,-1.20397280432594,0.0372084152473059,-0.0539718412764768,143
"NSW","-36.9042 149.7913 NSW","Riffle",-36.9042,149.7913,8,5.17897060891547,-0.430782916092454,0.0372084152473059,-0.0539718412764768,143
"NSW","-36.92369 149.64777 NSW","Edge",-36.92369,149.64777,7,5.86929691313377,3.39450839351136,0.0513453509444661,0.364582391173469,136
"NSW","-36.93812 149.69277 NSW","Edge",-36.93812,149.69277,3,4.70953020131233,2.21920348405499,0.0415875587144813,-0.471077324902972,137
"NSW","-36.94614 148.78822 NSW","Edge",-36.94614,148.78822,5,4.18965474202643,0.405465108108164,0.0245545234461607,-0.459453136319143,105
"NSW","-36.94614 148.78822 NSW","Riffle",-36.94614,148.78822,4,4.18965474202643,0.405465108108164,0.0245545234461607,-0.459453136319143,105
"NSW","-36.949 149.4786 NSW","Edge",-36.949,149.4786,5.875,4.51223219032882,1.63899671467564,0.0968896731986069,-0.0294851726375977,130
"NSW","-36.949 149.4786 NSW","Riffle",-36.949,149.4786,10.6,4.38452351487247,1.99877363861238,0.0968896731986069,-0.0294851726375977,130
"NSW","-36.9892 149.6607 NSW","Edge",-36.9892,149.6607,5,3.13549421592915,2.07944154167984,0.0762711707196049,-0.384332372495289,137
